Engineer ID,Name,Date,Day,Status,Login Time,Logout Time,Work Hours,Remarks
1,Engineer_1,2024-07-04,Thursday,Present,07:00:00,18:00:00,11,
2,Engineer_2,2024-07-04,Thursday,Present,10:00:00,19:00:00,9,Attended a meeting
3,Engineer_3,2024-07-04,Thursday,Absent,,,0,On leave
4,Engineer_4,2024-07-04,Thursday,Absent,,,0,On leave
5,Engineer_5,2024-07-04,Thursday,Absent,,,0,On leave
6,Engineer_6,2024-07-04,Thursday,Present,07:00:00,16:00:00,9,Worked remotely
7,Engineer_7,2024-07-04,Thursday,Present,09:00:00,16:00:00,7,Worked remotely
8,Engineer_8,2024-07-04,Thursday,Absent,,,0,On leave
9,Engineer_9,2024-07-04,Thursday,Present,10:00:00,17:00:00,7,Attended a meeting
10,Engineer_10,2024-07-04,Thursday,Absent,,,0,On leave
1,Engineer_1,2024-07-05,Friday,Present,09:00:00,19:00:00,10,Worked remotely
2,Engineer_2,2024-07-05,Friday,Present,10:00:00,19:00:00,9,Attended a meeting
3,Engineer_3,2024-07-05,Friday,Present,07:00:00,19:00:00,12,Worked remotely
4,Engineer_4,2024-07-05,Friday,Present,08:00:00,16:00:00,8,
5,Engineer_5,2024-07-05,Friday,Present,07:00:00,16:00:00,9,Worked remotely
6,Engineer_6,2024-07-05,Friday,Absent,,,0,On leave
7,Engineer_7,2024-07-05,Friday,Absent,,,0,On leave
8,Engineer_8,2024-07-05,Friday,Present,08:00:00,17:00:00,9,
9,Engineer_9,2024-07-05,Friday,Present,09:00:00,18:00:00,9,Attended a meeting
10,Engineer_10,2024-07-05,Friday,Absent,,,0,On leave
1,Engineer_1,2024-07-06,Saturday,Absent,,,0,On leave
2,Engineer_2,2024-07-06,Saturday,Absent,,,0,On leave
3,Engineer_3,2024-07-06,Saturday,Absent,,,0,On leave
4,Engineer_4,2024-07-06,Saturday,Absent,,,0,On leave
5,Engineer_5,2024-07-06,Saturday,Absent,,,0,On leave
6,Engineer_6,2024-07-06,Saturday,Present,10:00:00,17:00:00,7,Worked remotely
7,Engineer_7,2024-07-06,Saturday,Present,08:00:00,18:00:00,10,Attended a meeting
8,Engineer_8,2024-07-06,Saturday,Absent,,,0,On leave
9,Engineer_9,2024-07-06,Saturday,Present,10:00:00,17:00:00,7,
10,Engineer_10,2024-07-06,Saturday,Absent,,,0,On leave
1,Engineer_1,2024-07-07,Sunday,Present,08:00:00,16:00:00,8,Attended a meeting
